filename,answer,query_text,program_text
0.jpg,3,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
0.jpg,1,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
0.jpg,0,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
0.jpg,2,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
1.jpg,3,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
1.jpg,2,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
1.jpg,1,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
1.jpg,0,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
2.jpg,0,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
2.jpg,1,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
2.jpg,2,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
2.jpg,3,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
3.jpg,0,Which pair is the same shape and the same color?,generate pair <nxt>    filter same_shape <nxt>    filter same_color <nxt>    query pair
3.jpg,1,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
3.jpg,2,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
3.jpg,3,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
4.jpg,0,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
4.jpg,1,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
